@user Welcome to MPSVT We are delighted to have you grateful MPSVT relationships || Ground truth: joy
The prayer of the feeblest saint is a terror to Satan Oswald Chambers || Ground truth: optimism
@user Know how much in movie sales now&amp forever in the future that the actors &amp singers talking their crap about Trump Americans lost || Ground truth: anger
@user Not just SATS GCSE as well lost 5 marks because missed a coma answer correct annoyed || Ground truth: anger
I definitely know my karaoke song now so hmu and it's by Britney shocking || Ground truth: joy
@user i did i cried from laughter way too much HAHAHAHAHHAHAHAHAAHGAHAHA 😅 😅 || Ground truth: joy
Featuring grilled halibut with a lime basil crust and a yellow tomato and lobster coulis yummy seafood || Ground truth: joy
I just revenge killed a red ant for biting my son's finger iammommabearhearmeroar 🔪 🐜 🗡 || Ground truth: anger
Did you know the moon is 400 times smaller than the sun eclipse amazing SolarEclipse2017 || Ground truth: joy
I just remembered I made a presentation of the top 100 male idols out of anger after seeing that siwon was first || Ground truth: anger
Ask yourself this If the algae appears to be gone is it really Is it worth the risk algae water toxic threat methane cancer || Ground truth: anger
That morning when you get half-way to work and THEN realize the 4 year old is still in the back seat backtrack || Ground truth: optimism
And my mind and my soul Who made him substitute for my brothers and near me for all the beautiful days and I found you lost and grabbed || Ground truth: joy
another chunk of antarctic the size of wales broke off The glee of knowing humans deserve their extinction climatechange || Ground truth: anger
A bitter woman says All men are the same' A wise woman decides to stop choosing the same kind of men || Ground truth: optimism
@user I'd never leave the couch again excited and weary ❤️  ️ || Ground truth: joy
Hoping the Giant ice that broke off will cool the ocean and bring back the Great Barrier Reef optimism amirighttho sigh || Ground truth: optimism
@user my BF and I just rewatched the episode of GravityFalls you were and he's fanboying YeahScience || Ground truth: joy
Christian Christ is your sacrifice that turns aside the justly deserved wrath of God &amp justly satisfied Gods righteous demands || Ground truth: optimism
