yuk no video do zico th world i shak won || Ground truth: sadness
swet merci crap that wa som bad sing at th mlb tonight anthem and god bles both wrong out alstar gam not of tun || Ground truth: anger
us first second on wil i music to my ear 😭 ❤️ ️ shak mis tnt you || Ground truth: sadness
no on want th chuby scar toy hurt || Ground truth: sadness
i'm stil bit about th fact that i didn't get th php lit promo || Ground truth: anger
us humanist &amp sailor 😂 😂 😂 😂 😂 😂 😂 😂 you forgot to ad big tim los arsehol 🇬 🇧 || Ground truth: anger
schol duti 😧 god night pl || Ground truth: sadness
us th i tho my pout wa actual seriou || Ground truth: optimism
a litl positivity for a dreary tuesday from my litl jar of positivity now availabl in my etsy stor self handmad anxiety help hour || Ground truth: optimism
lov get hour of slep and then get woken up to horid alergi oh god morn world alergy wonder || Ground truth: anger
h in south bend in quad citi riv bandit lead th sb cub organist v fond of mast of th hous from l miz sad || Ground truth: sadness
so us w ne long episod 🙏 🏽 🙏 🏽 😫 😫 insecur || Ground truth: sadness
us then dont disapoint them 😂 || Ground truth: sadness
can't slep may wory or may i ne to chang my pilow may 😏 b b b || Ground truth: sadness
when your leav for work and your husband i stil sound aslep in b 😅 can i just stay hom  || Ground truth: sadness
if your nervou about tomorow' origin gam just rememb if it' a decid next year it wil again b th bigest gam of al tim  || Ground truth: optimism
majka didn't start || Ground truth: sadness
i start my day thank my star then i se my coleagu walk away ear notic period honeymon scen and i wond why god why || Ground truth: sadness
us 😂 😂 😂 😂 u mean ov english club re madrid se bayern a no threat then lok 😂 pric || Ground truth: anger
us ya writ horor so everyth today in th world lok norm to thi dark individu || Ground truth: anger
us who even knew that th eu could b vindictiv || Ground truth: anger
what' wrong i alway availabl so i what' right you decid on what to focu suces || Ground truth: optimism
us bit w al hav bad experienc thi wa year ago tim to let it li us forev ❤😍 😍 ❤ || Ground truth: optimism
us thi thread i a bunch of put lov rejoic ov a video post by iranian stat televis sad in || Ground truth: sadness
that mo you pour your heart and soul to a girl sh read th mesag but doesn't rep lov relationship help i dont know || Ground truth: sadness
for every dark night 🌑 there' a bright day 🌞 || Ground truth: optimism
quick anoying vagu scream into th void a i'm nervou excit terifi try not to get my hop up a a agh || Ground truth: anger
don't b light and dark night and day smil and cry ―you and m || Ground truth: optimism
grind smart hustl grind || Ground truth: optimism
when on dor clos anoth on open oportunity growth optimism || Ground truth: optimism
i can't wait until i final met th lo thes pusy boy ar real start to iritat my soul ml || Ground truth: anger
year 😭 rest in piec corey gle mon th ith || Ground truth: sadness
jock pakistani ar fir on loc without reason they r kil our pilgrim pmo thank v r saf r v war fear pak nuk fol || Ground truth: sadness
us crow and i also if your ov wear whatev th hel you want 😅 girl  || Ground truth: anger
flatmat provo pin polen man cat || Ground truth: anger
us may i ask a quest pleas scar || Ground truth: sadness
a includ in th vila sc peopl liv with pt experienc heavi of th leg and pr oedema i lta tibi th || Ground truth: sadness
i want to cry just think about coleg and it wa on th first day a god || Ground truth: sadness
us first it wa steam pusy with garlic now thi 😰 ao i giv up || Ground truth: sadness
