us us cmbyn do scren august &amp at mif || Ground truth: sadness
who knew magnu ban with teary ey and trembl lip would b my downfal || Ground truth: sadness
th i it' hard to b sob || Ground truth: sadness
us nev a god experienc at  fort av loca i nev learn becaus i lov chipotl teribl badservic || Ground truth: anger
may god grant u th ability to se hi unfail lov fil th earth 🌏 psalm aw || Ground truth: optimism
us us with al th oth stuf go on in houston crim you spend your tim buly th homeles wonder || Ground truth: anger
aft al of th disney animat film ar remad in liv ac wil they just reanimat them again || Ground truth: optimism
us oh for four year thes panelist wer th lnp che squad hypocrit || Ground truth: anger
us wait i saw thi twet and thought h wa jok h wa seriou 😂 😂 😂 || Ground truth: anger
fucк m on kik guy horny dick sex womensbodi snapm sext x || Ground truth: anger
fel blind new spec pleas 😰 || Ground truth: sadness
i respect facebok and them kil snapchat if you can't buy em beat em fb || Ground truth: anger
us i said that onc and my pal rip m a new arsehol 😊 || Ground truth: anger
anoth chunk of antarctic th siz of wal brok of th gle of know human deserv their extinc climatechang || Ground truth: anger
wel my mind oficial blown aft that gameofthron got got  whitewalker cry || Ground truth: sadness
chad and sarah i honest m and my ex year ago 😂 😂 cb horify || Ground truth: anger
us us us i believ ur meka n madina also dikl which u kis a dark dirty on || Ground truth: anger
dro and hi teth ar stil fin tho insecur || Ground truth: optimism
us how could you put thi show on air disrespect to so many mum and famili 😡 || Ground truth: anger
updat on person dead &amp anoth in seriou condi aft hom invasion in flint incident hapen in coleg cultural cent area || Ground truth: sadness
us first second on wiltnt i music to my ear 😭 ❤️ ️ shak misedyou || Ground truth: sadness
us us yip coz he' a miserabl hufy get 😊 || Ground truth: anger
i'm stil bit about th fact that i didn't get th php lit promo || Ground truth: anger
us humanist &amp sailor 😂 😂 😂 😂 😂 😂 😂 😂 you forgot to ad big tim los arsehol 🇬 🇧 || Ground truth: anger
us th i tho my pout wa actual seriou || Ground truth: optimism
a litl positivity for a dreary tuesday from my litl jar of positivity now availabl in my etsy stor selfhelp handmadehour anxiety || Ground truth: optimism
lov get hour of slep and then get woken up to horid alergi oh god morn world alergy wonder || Ground truth: anger
so us w ne long episod 🙏 🏽 🙏 🏽 😫 😫 insecur || Ground truth: sadness
i went so dep into my thought that i start shak i real deal upset myself to that point of anxious || Ground truth: sadness
us then dont disapoint them 😂 || Ground truth: sadness
when you'r leav for work and your husband i stil sound aslep in b 😅 can i just stay hom || Ground truth: sadness
us at on point thi i what i want rba sa hahaha pero di jud oy di jud ☹ what if ga hums ta 😭 || Ground truth: sadness
us 😂 😂 😂 😂 u mean overpric english club real madrid se bayern a no threat then lok 😂 || Ground truth: anger
us ya writ horor so everyth today in th world lok normal to thi dark individual || Ground truth: anger
us us go ahead &amp con would lov to se you get hit by a man i bet you wouldn't find it funy blackhatemater || Ground truth: anger
us who even knew that th eu could b vindictiv || Ground truth: anger
w hav a global problem ilicit trad in tobaco product present a seriou threat to public health untobacocontrol us || Ground truth: anger
hudl befor flam don't let poetry scar you produc i wild haiku || Ground truth: optimism
us bit w al hav bad experienc thi wa year ago tim to let it li us forev ❤😍 😍 ❤ || Ground truth: optimism
us do you hav th first pepa pig vid with com out y black and tan handy obvious lost onlin with th old pag || Ground truth: sadness
hous sit for mil fed baby and cat start scratch at dor mumy now ned a napy  terifi neveragain nop || Ground truth: anger
a na i a society unit by delusion about it ancestry and by comon hatr of it neighbor fact teamfolowback || Ground truth: anger
i'm furiou wonder what hapen aft th latest yep sound prety treasonou scandal at least cal sen i someth w can do || Ground truth: anger
don't b light and dark night and day smil and cry ―you and m || Ground truth: optimism
year 😭 rest in piec coreymontheith gle || Ground truth: sadness
first ev doctor apoint without my mum how daunt || Ground truth: sadness
us crowgirl and i also if you'r ov wear whatev th hel you want 😅 || Ground truth: anger
us may i ask a ques pleas scar || Ground truth: sadness
us first it wa steam pusy with garlic now thi 😰 ao i giv up || Ground truth: sadness
shaft abrasion from panti mere shift to th sid theoldsideshift anoyanc humansoflatecapitalism || Ground truth: anger
