what make you feel joyful || Ground truth: joy
of cours i'v got a horribl cold and am break out day befor grad 👍 🏼 👍 🏼 👍 🏼 👍 🏼 👍 🏼 || Ground truth: sadness
user user you ar a man after god' heart and i am proud that you ar my president blessedandgrateful awesome || Ground truth: joy
user wis you mean 😅 || Ground truth: joy
remain attach to god dur your happi and dur your sad || Ground truth: optimism
work not to || Ground truth: sadness
sardonyx expresse herself through support th team with your incredibl yo yo skill and depression okay || Ground truth: sadness
user omg poor you it happen to m last summer i saw my under skin 😰 || Ground truth: sadness
th patient wer increasing protect dur heart attack chain hav encourag smok anger and hundred of new hospital || Ground truth: joy
just add a copy of candid to my local littl fre library &amp a guy grabb it literal second later optimism bestofallpossibleworld || Ground truth: optimism
don't griev over thing so bad || Ground truth: sadness
user ballroom danc clas tomorrow any advic for a first timer || Ground truth: joy
they say ur a prdct of ur surrounding a bit intimidat by th crazy amaz ppl i met user user user user || Ground truth: joy
thre mor shift then i start th next part of my tutorship in respons enjoyingthelastfewday excit nervou newchallange || Ground truth: joy
thi nightmar i near over gang gang gang || Ground truth: optimism
user it' an even for ly around do feck all look lik an october even down her miserabl || Ground truth: sadness
user i know 😰 || Ground truth: sadness
cold sore ar th worst th second you smil or laugh it' over blood everywher || Ground truth: sadness
unforgive live in th dark || Ground truth: sadness
whatever you want to do if you want to b great at it you hav to lov it and b abl to mak sacrifice for it quote for you || Ground truth: optimism
i'm nervou || Ground truth: sadness
user im sorry i vot jean &lt u look bang who tf need food anyway when ur a student existential dread feed u || Ground truth: joy
thi weather = my mood ☔ miserabl || Ground truth: sadness
humbl yourself in th sight of th lord if w hav di in christ then how can w b offend a dead person cannot feel anyth right || Ground truth: optimism
chiropractor tim crackl pop chiropractor || Ground truth: joy
u can get an oreo shak at burger k || Ground truth: joy
watch that video and realiz that i'v gotten uglier depress || Ground truth: sadness
dark lucha tru i th best || Ground truth: joy
com on blue stateoforigin origin nswblue nsw || Ground truth: optimism
user happy birthday cuzzo many bless 🙌 🏾 💪 🏾 🇳 🇬 💯 keepgrind bless || Ground truth: joy
user don't worry froggy it will soon b tim for frogfearfriday || Ground truth: optimism
user user user watch th totalsolareclips on ur channel right now amaz what' happen in th usa || Ground truth: joy
my nam i sara im year old and i cant believ boil an onion i mak m cry || Ground truth: sadness
aj end up be a terribl character but no on in hi fami ever actual speak to him h witnesse so much and just get sent away || Ground truth: sadness
i hung up on my manager last night 😭 || Ground truth: sadness
every tim i think abt hobi cry i start cry || Ground truth: sadness
don't justify terrorism a communal hatr amarnathterrorattack i sheer act of cowardic let' unit together against terrorism luv all || Ground truth: optimism
god bles him in hong kong ex || Ground truth: joy
gameofthone how can you top that next week heartbreak || Ground truth: sadness
john let not your heart b troubl neither let it b afraid peac afraid || Ground truth: joy
user user no it wa a selfi of him from seven month ago look at th top left of th snap peopl || Ground truth: joy
do you ever just get so excit that you'r try to sleep &amp just can't even clos you eye 😁 lik i real ne thi catnap but excitement || Ground truth: joy
user ha sad not just th undy respect of your peer i'm afraid || Ground truth: sadness
lif i too short to hid your feeling don't b afraid to say what you feel || Ground truth: optimism
user oh no jumper on again ha it turn colder 😟 hav a terrific day 🙋 🏼 🌸 🌼 🌻 💕 💕 || Ground truth: joy
and every tim i cry hard fear blanket m || Ground truth: sadness
user ah that' a neat idea will check that out might make m mor depress about my slow tho 🤣 || Ground truth: sadness
negativ self talk in depression can extend to sleep with catastrophic think about th impact of poor sleep fuel insomnia || Ground truth: sadness
mental suffer iwanttodi worthles lifewithoutcolor pain suicidal || Ground truth: sadness
thoughtoftheday perpetual optimism i a forc multiplier colin powell quot optimism positivity || Ground truth: optimism
part of danielhiv insecur i got you || Ground truth: sadness
every day i dread do an hour shift in retail 🙂 || Ground truth: sadness
on of thos day mentalhealth anxiety agoraphobia panic depression ocd || Ground truth: sadness
my neck still hurt though 😥 || Ground truth: sadness
user i know it bother m that u worry my lov za 😢 😢 || Ground truth: sadness
user user oh that too 🤣 || Ground truth: joy
user think it lost it heart after th second version third wa disappoint and haven't play th fourth yet || Ground truth: sadness
i'm sorry im much mor interest in th bachelorinparadis ros ceremony than whatever user ha serious || Ground truth: sadness
usual th thing you ar most afraid of ar th most worthwhil fact teamfollowback rocktheretweet || Ground truth: optimism
user aw feel or qu || Ground truth: sadness
johnny doesn't seem lik th suicidal typ suspicion tcmparty || Ground truth: sadness
wow that last chick wa a bit intens poor freddi wa a bit unnerv lol ninjawarriorau || Ground truth: joy
fill with sophisticat glum || Ground truth: sadness
or just blam th gloomy weather || Ground truth: sadness
but damn th sight of them gett scar af make m feeel sooo bad which they should feel afraid caus if their mom don't com n it them || Ground truth: sadness
from th archive strikeforc champ ronda rousey chirp church mayhemmiller nak rip rondarousey twitter || Ground truth: sadness
not animat said pen amaz wif love thi on || Ground truth: joy
user wow i'v just spott th cutest human be aliv bless 😍 || Ground truth: joy
robert call m to mak sur i wa awak for my night clas || Ground truth: joy
i hat thes crippl anxiety || Ground truth: sadness
