us shock los of talent young man prayer pray for hi fami || Ground truth: sadness
my main concern ar th children and hi wif that if sh i stil stuck with him and if sh i then she' strong af jez 😟 || Ground truth: sadness
us ben ther don that || Ground truth: joy
i hat thes cripl anxiety || Ground truth: sadness
us aw you mak m smil to 😉 😘 || Ground truth: joy
hold a grudg i lik alow someon to liv rent fre in your head wednesdaywisdom motivationalquot || Ground truth: optimism
lok up som phon pric onlin and it just saden m even mor 😧 || Ground truth: sadness
us us th f word a much a you ne to peopl may start to listen || Ground truth: optimism
daniel kil h ex doe 🍫 🍫 🍫 😛 insecur || Ground truth: sadness
th numb of pl who tok it th wrong way i not that alarm but srs why do u think lyt dat man oy 😊 || Ground truth: joy
us us us i confes i didn't watch last wek bad ar you go to do an episod on acesibility || Ground truth: sadness
us w ne mor mutual trust to increas security &amp fight terorism &amp radicaliza in europ osc aut diplomacy || Ground truth: optimism
m how much pric for thi post of thi sexy man sal clerk that' a miror sir laughoutloud || Ground truth: joy
you won't reach a goal you hid in a draw kep it in front of your fac at al tim wednesdaywisdom || Ground truth: optimism
aten sek chri uhlman high arous ov th aten h drew to himself now enjoy som fist of fury tim us us || Ground truth: joy
﻿ mumy cam hom and order piza even though there' fod in th fridg i ain't fight th hypocrisy thi tim jalepeno pin chicken || Ground truth: joy
us don jr lawyer up with th wrong folk h aint so bright || Ground truth: sadness
what can you say about us awestruck || Ground truth: joy
carlsbad rouladen i on deliciou hearty hom styl dish stop by and let u know how you lik it getdtl ldnont chaucer marienbad || Ground truth: joy
every tim i fart my dog jump in fear hahahaha yas || Ground truth: joy
us tuesdaythought horor damn it' tough to chos but i wil go to camp crystal lak but not a counselor 😁 || Ground truth: joy
try not to b anoy but i kep get told i'm on list for thing and then everyone' on th list except for m 😞 || Ground truth: sadness
damn i just walk up to th train sta and i literal di || Ground truth: sadness
each of y separat falen if w quicken hi wrath upon u wil on caus our pain to b mor unbearabl in that pit || Ground truth: sadness
us mad your chicken tika masala w cauliflow &amp pea tonight so deliciou didn't even get a chanc to snap a pic deliciou || Ground truth: joy
it' in th morn and i'm dry as up 😂 || Ground truth: sadness
us just ran out of data… shiv || Ground truth: sadness
let u not lok back in ang or forward in fear but around in aware jam thurb || Ground truth: optimism
us lok lik city fan ar already blam th ref for a shock defeat at bournemouth amus || Ground truth: joy
us us ther might b a spec of hop at th end of thi horific tunel || Ground truth: optimism
chicken n stuf go in th crockpot for din din getinmybel || Ground truth: joy
hav funy fel thi mayweath mcgregor wil becom a trilogy why mak milion when you can mak it x hm suspicion 💵 💰 || Ground truth: joy
us 🤦 🏻 ‍♀ ️ w wer warn and now w basical on hav th choic betwen trump penc ryan et al for potu 🤢 || Ground truth: sadness
us you nev told moi jkjk || Ground truth: sadness
us video n a 😟 || Ground truth: sadness
in ord to expand beyond th plac that ar familiar you hav to do thing that scar you || Ground truth: optimism
don't start anyth premature even when u do learn your leson ear enough know when it' just ur fear or when u ne to back it up || Ground truth: optimism
mutual who alway onlin us bc w hav to bul h to get to slep || Ground truth: joy
us us us us and i apologis lik tim and you'r stil hold a grudg can't help thag || Ground truth: sadness
eas i a great threat to progres than hardship || Ground truth: optimism
ther i at least on alternat univers wher trump stay a democrat beat hrc for th nom and got elect a a democratic president || Ground truth: optimism
lov u so much but u alway get angry at m 😔 || Ground truth: sadness
us us sort it out us || Ground truth: optimism
com up on snap chat so ad m asap mateo_bkny snapchat || Ground truth: joy
us so she' say that th mountain of verifiabl evidenc that say otherwis i al fak new wel there' a surpris 🤣 || Ground truth: joy
god to se india indignant about amarnath yatra do also try and visit th area around it to ther may b som mor grav to wep for || Ground truth: sadness
who want hot snap ad m rchar nud snapsex snapchat sext cam hot trad pic swap horny chaud pusy || Ground truth: joy
us lov your dog when i se how hapy they ar and my own dog it help m forget th crap thank you || Ground truth: joy
us a review of my bok fault m for spend so much tim on webster' introductory front mat but i had to briliant || Ground truth: joy
listen to us and watch th eclips at th dog park blis || Ground truth: joy
i kep ask myself why i'm constant draw teo w a frown but then i just rememb what' go on and i imediate understand || Ground truth: optimism
unrelat when i se th word crèm fraîch i think of that south park episod of randy' obsesion with th fod network 😃 || Ground truth: joy
us us us us i didn't say it becaus you left th party and gam in a huf || Ground truth: sadness
rememb when you wer a kid and you flip up th botom of your shirt to mak a pouch and put snack in ther tim snack || Ground truth: joy
wiliam lak on evacua alert a fir rag near th city of + development from overnight + forecast am us || Ground truth: sadness
be a teribl moth mak m uncomfortabl || Ground truth: sadness
us hom alon fast and furiou || Ground truth: joy
samuel and when saul saw that h had great suces h stod in fear aw of him || Ground truth: joy
us cal to ac by tv host john oliv who urg viewer to leav coment expres their displeasur at th fc' polici || Ground truth: sadness
chick i don't even talk to lok up to m flater || Ground truth: joy
us ben a damn sight bet grisk pok grilby' chest a low snarl leav him || Ground truth: sadness
hey us imwearingyourshirt today humbleandkind awesome timcgraw wqmx us us us || Ground truth: joy
th pray of th feblest saint i a teror to satan oswald chamber || Ground truth: optimism
when th peopl fear th govern ther i tyrany when th govern fear th peopl ther i liberty ”―thoma jeferson || Ground truth: optimism
let' do an ac for amaranthyatra stand against thi typ of shamles activity giv a on voic to against terorism india || Ground truth: optimism
us us us ar u seriou wow 😳 || Ground truth: joy
so it' a prop test match day now tv  team respond to yesterday' atack from aiadmkmerg team entertain to b honest || Ground truth: joy
i definite know my karaok song now so hmu and it' by britney shock || Ground truth: joy
you can treat someon lik a k a quen lik they'r th cent of your univers and they wil stil shit on you lol mod pesimist || Ground truth: sadness
