user user cmbyn doe screen august &amp at miff || Ground truth: sadness
let u not look back in anger or forward in fear but around in aware jame thurber || Ground truth: optimism
user look lik city fan ar already blam th ref for a shock defeat at bournemouth amus || Ground truth: joy
chicken n stuff go in th crockpot for din din getinmybel || Ground truth: joy
merkel ha support all israeli terror initiative oppos th palestinian bid for membership at th un || Ground truth: sadness
user 🤦 🏻 ‍♀ ️ w wer warn and now w basical on hav th choic between trump penc ryan et al for potu 🤢 || Ground truth: sadness
user you never told moi jkjk || Ground truth: sadness
user video n a 😟 || Ground truth: sadness
in order to expand beyond th place that ar familiar you hav to do thing that scar you || Ground truth: optimism
user user if i could just pick of them then i'd hav no troubl pick who i want 🤣 || Ground truth: optimism
edg of my seat user lov it dragonsonthewall || Ground truth: joy
don't start anyth premature even when u do learn your lesson ear enough know when it' just ur fear or when u ne to back it up || Ground truth: optimism
mutual who alway onlin user bc w hav to bul her to get to sleep || Ground truth: joy
som whit folk wer jump in joy when they thought floyd mayweather wa brok 😂 || Ground truth: joy
user user user user and i apologis lik time and you'r still hold a grudg can't help thag || Ground truth: sadness
eas i a greater threat to progres than hardship || Ground truth: optimism
ther i at least on alternat univers wher trump stay a democrat beat hrc for th nom and got elect a a democratic president || Ground truth: optimism
lov u so much but u alway get angry at m 😔 || Ground truth: sadness
user user sort it out user || Ground truth: optimism
com up on snap chat so add m asap mateo_bkny snapchat || Ground truth: joy
i don't fear th unsettl demon insid of m i let them conquer th weakest nook of my soul for that i th on provenanc of my power || Ground truth: optimism
user so she' say that th mountain of verifiabl evidenc that say otherwis i all fak new well there' a surpris 🤣 || Ground truth: joy
good to se india indignant about amarnath yatra do also try and visit th area around it too ther may b som mor grave to weep for || Ground truth: sadness
awok from an actual nightmar about unicod normalization || Ground truth: sadness
user user sinc when did someon break chromecast for all macbook pl w despair at day wast try mak it work again || Ground truth: sadness
i wa taught there' noth out ther to fear just go out ther turn dream into reality us other peopl fear to your advantag || Ground truth: optimism
user lov your dog when i se how happy they ar and my own dog it help m forget th crap thank you || Ground truth: joy
user a review of my book fault m for spend so much tim on webster' introductory front matter but i had to brilliant || Ground truth: joy
listen to user and watch th eclips at th dog park blis || Ground truth: joy
i keep ask myself why i'm constant draw teo w a frown but then i just remember what' go on and i immediate understand || Ground truth: optimism
what a tir day 😧 || Ground truth: sadness
user user user user i didn't say it becaus you left th party and gam in a huff || Ground truth: sadness
remember when you wer a kid and you flipp up th bottom of your shirt to mak a pouch and put snack in ther time snack || Ground truth: joy
thankful for job healthy sober happy a hell about thing still hav a panic attack every tim i put my sunglasse on || Ground truth: joy
william lak on evacuation alert a fire rag near th city of + development from overnight + forecast am user || Ground truth: sadness
be a terribl mother make m uncomfortabl || Ground truth: sadness
support your local firefighter to help ensur they ar abl to carry out their job tonight without fear of attack or harassment nifr || Ground truth: optimism
user call to action by tv host john oliver who urg viewer to leav comment express their displeasur at th fcc' policie || Ground truth: sadness
user tru dreadful || Ground truth: sadness
