us us cm do scren august &amp at mif by n || Ground truth: sadness
us you nev told moi jk jk || Ground truth: sadness
us video n a 😟 || Ground truth: sadness
us us interesting shock and sad american judiciary i serious flaw || Ground truth: sadness
shal rest by day a fiery gleam by night || Ground truth: joy
in ord to expand beyond th plac that ar familiar you hav to do th that scar you || Ground truth: optimism
us us if i could just pick of them then i'd hav no troubl pick who i want 🤣 || Ground truth: optimism
edg of my seat us lov it dragon on th wal || Ground truth: joy
mutu who alway onlin us bc w hav to bul h to get to slep || Ground truth: joy
us us us us and i apologis lik tim and your stil hold a grudg can't help th  ag || Ground truth: sadness
eas i a great threat to progres than hardship || Ground truth: optimism
th i at least on alternat univers wh trump stay a democrat beat hrc for th nom and got elect a a democratic president || Ground truth: optimism
lov u so much but u alway get angry at m 😔 || Ground truth: sadness
us us sort it out us || Ground truth: optimism
com up on snap chat so ad m asap mateo snap bk ny chat || Ground truth: joy
us so she' say that th mountain of verifiabl evidenc that say otherwis i al fak new wel there' a surpris 🤣 || Ground truth: joy
god to se india indignant about amarnath yatra do also try and visit th area around it to th may b som mor grav to wep for || Ground truth: sadness
awok from an actu nightmar about unicod normalizat || Ground truth: sadness
us us sinc when did someon break chrom for al mac pl w despair at day wast try mak it work again cast bok || Ground truth: sadness
on sid i th concern &amp fear our ten safety &amp hapi that terify so contd horibl suicid gam sick || Ground truth: sadness
