us real i'v had to hang up || Ground truth: anger
my dog i a dick start cry got on th flor to se wut up rit lil bitch start bit th shit out of m || Ground truth: anger
th gravedig lok solemn th groundhog blink back tear th crow fel silent hey what about m crow th rost vs || Ground truth: sadness
who also mis gle g gle gle dream dont gle us lek forev com tru stop believ cast || Ground truth: sadness
us it ben month i am behind thi isu i wil n alow you guy to bul m around lik thi it || Ground truth: anger
us sory to hear that mark 😢 || Ground truth: sadness
us you nev told moi jk jk || Ground truth: sadness
us lov light up old task wil son go and seriou || Ground truth: optimism
hate horibl horendou = last night' spech in sumary us us us phoenix phoenix protest ral || Ground truth: anger
us us sort it out us || Ground truth: optimism
when you try your best but you don't suce 😞 😭 😭 😰 😰 😢 😢 sad alon tear b bor bor to death || Ground truth: sadness
tuesday night and th win i com out just got hom from work if that explain it 🤦 🏻 ‍♀ ️ 🤦 🏻 ‍♀ ️ 🤦 🏻 ‍♀ ️ 🤦 🏻 ‍♀ ️ 🤦 🏻 ‍♀ ️ iritat || Ground truth: anger
th i much in th world to mak u afraid th i much mor in our faith to mak u unafraid || Ground truth: optimism
us nev a god experienc at  fort av locat i nev learn becaus i lov chipotl teribl bad servic || Ground truth: anger
us it' grim 😝 || Ground truth: sadness
also ben kind of silent on  of th x fil becaus i am terifi that c i go to screw it up actual i know h wil dread || Ground truth: anger
thi tim tomorow i'l b at th airport for th first trek of my journey to america 👀 alon || Ground truth: sadness
us ha no percept ned just fact it' a bunch of dud in suit try to gobl up money whil they'r in pow shock || Ground truth: anger
us it' aw || Ground truth: anger
us to tru my logic wa blind by outrag || Ground truth: anger
i am furiou it i near pm and w stil haven't sign anoth play get your chequebok out chairman || Ground truth: anger
w join our sister' in sa a they mourn th death of a bright star prudenc rip si til w met again a mabel  fri fem || Ground truth: sadness
bcuz of a photoshop pic of chan lea i gona get kick out of h hous tragic heartbreak baek || Ground truth: sadness
th court ar real go to frown upon but a a defens trump ha to b impeach th rest of th kremlin clan get a jury h email || Ground truth: anger
isi wa not defeat in mosul it just chang it adres to libya egypt sinai || Ground truth: anger
us i don't hav a tv in my rom 😟 || Ground truth: sadness
us stand up to sexism let peopl di for lack of fund but mak sur you stand up against sexism ar they mad in ludlow || Ground truth: anger
to go back in tim to th st grad so you can walk up and shov your bul on th playground litl ashol stupid reason to us tim travel || Ground truth: anger
us thi pain i restles even if my ey ar clos i wish i nev had won th rac a a sperm || Ground truth: sadness
you can't chang who peopl ar but you can lov them sad || Ground truth: sadness
us h w go can't wait to se how much shit sh chat 😴 || Ground truth: anger
us w tok a trip to ireland right befor w bought our hom no way i could do it now i dread tak day of of work || Ground truth: sadness
chad and sarah i honest m and my ex year ago 😂 😂 cb horify || Ground truth: anger
us you ar a jok bank i despair at your complet lack of comon sens th uk howev get it wtf i wrong​ with you || Ground truth: anger
us you can't mak thi crap up therefor my 😐 respons || Ground truth: anger
to glomy weath remind m that wint i com and then it'l b cold again for month pesimist day || Ground truth: sadness
us hey you lost your credibility not that you had any also w told you so 🤣 || Ground truth: anger
us do th th enrag al th peopl who can do th th not || Ground truth: optimism
us omg why ☹ || Ground truth: sadness
us us so much crow eat to com crow may becom an endanger speci reveng || Ground truth: anger
im not naiv not to notic th way you lok at m your seduct and discret mov but you scar m honey to tel you quit frank || Ground truth: anger
stat at hom th whol day no eat no enough slep chest and body ach 😥 || Ground truth: sadness
us not lik that you said you wana leav for a whil and com back son i don't lok for you bc i'm afraid i'l anoy you || Ground truth: anger
sad re fak work hard to get th olympic for th unit stat l a stay tun cn donald trump twet  || Ground truth: sadness
i stil think of you just to check if it stil hurt y it do 💔 sel 😌 😌 😌 no phil || Ground truth: sadness
us genuin refuge ar terifi of authority figur they wouldn't provok them lik thi mob || Ground truth: anger
us 😂 😂 😂 😂 u mean ov english club re madrid se bayern a no threat then lok 😂 pric || Ground truth: anger
thank you us for us th afghanistan policy of h wa prety smart p  do not lok direct at th sun bad || Ground truth: optimism
us i hop didn't scar oth peopl who own thi figur that h wil mov at midnight 😂 || Ground truth: optimism
us us go ahead &amp con would lov to se you get hit by a man i bet you wouldn't find it funy black hat mat || Ground truth: anger
us omg ar you kid m with thi i thought penc wa bad but they had to go even farth || Ground truth: anger
i'm a talkativ person but how do th scowl on my fac at am lead my neighbor to believ that now i th tim for conversat || Ground truth: anger
when you realiz you start coleg in literal les than a month hahahaha what th fuck i just wana b a carefre ten forev tf || Ground truth: anger
us muslim r justify teror atack on hindu cit babri but who i hurt hindu senti tim and again by kil cow || Ground truth: anger
us just becaus you mari money doesn't mean you hav clas it just mean you ar a high pric prostitut adorabl || Ground truth: anger
year 😭 rest in piec corey gle mon th ith || Ground truth: sadness
apologi don't hav to b sinc they mak great plac hold whil you quiet harbor rag and plot adequat reveng tuesday motivat || Ground truth: anger
wtf i wrong with u pldt 😤 || Ground truth: anger
us yeah i'v had that l say hopeful you'l nev get it then you horific wast of skin || Ground truth: anger
us nana' death in th royl fami 😢 || Ground truth: sadness
us us and us politic pow to exact reveng when they don't get what they want kushn || Ground truth: anger
don't b afraid of your fear their purpos i not to frighten you but enlighten you and lead you into a bet futur dai fear craig || Ground truth: optimism
a includ in th vila sc peopl liv with pt experienc heavi of th leg and pr oedema i lta tibi th || Ground truth: sadness
if you don't folow us you should hi fe yesterday al day wa gold trump bafl jr || Ground truth: anger
